id;dish_name;dish_description;dish_price;dish_date;dish_picture_name;dish_picture_url;dish_picture_alt;is_daily_dish;is_available
1;generating Steel;Sausages;2658;2021-11-29T18:48:59;vertical;Metal;incubate iterate;false;false
2;a Cambridgeshire;synergies ADP;96659;2021-11-29T21:16:12;Du open-source;Home Generic;Champagne-Ardenne;true;false
3;Île-de-France Avon;Concrete;17544;2021-11-29T16:58:15;markets Front-line SSL;port connect;Vaneau;false;true
4;infrastructures Auto;violet;82723;2021-11-30T12:14:58;c Lithuanian;capacitor;c withdrawal;false;false
5;de turquoise;Ouganda Lettonie;31627;2021-11-29T14:40:21;platforms Garden;applications;Qatar Champagne-Ardenne;false;true
6;Île-de-France;Grocery connect;18224;2021-11-30T03:53:33;b Assistant;Francs-Bourgeois Cotton;orchestration;true;false
7;Assistant Bedfordshire plum;application networks;87549;2021-11-30T13:42:06;client-server Shirt;Agent Poitou-Charentes SMS;Technicien invoice;false;true
8;Sausages strategize Concrete;administration functionalities;52926;2021-11-30T05:20:34;Vaneau Streamlined Iran;generate;Fantastic website;false;false
9;lavender;Technicien Sleek a;63257;2021-11-29T16:56:31;bluetooth experiences Indonésie;Sommerard Royale Dahomey;throughput withdrawal calculating;true;false
10;Secured;Tasty Loire;70537;2021-11-30T00:19:50;online parsing;Buckinghamshire bypass a;Alsace experiences;true;false
