id;restaurant_name;restaurant_address;restaurant_address_cmp;restaurant_type;is_sub;restaurant_subscription;restaurant_sub_date;restaurant_description;restaurant_phone_number;restaurant_email;restaurant_web_site;restaurant_latitude;restaurant_longitude;is_activated
1;initiative;Riel projection Rubber;Tunisian connect embrace;STREETFOOD;false;GOLD;2021-11-29T20:08:14;invoice Compatible;Salad synthesizing;experiences Keyboard;Automotive payment;80334;48455;false
2;e-markets Awesome hard;navigate alliance Bedfordshire;Basse-Normandie transmit b;RESTAURANT;true;GOLD;2021-11-29T17:10:56;deliver;Handcrafted;Consultant CSS Garden;quantify Corse;16654;58479;true
3;connect;relationships compress wireless;leverage Plastic;BRASSERIE;true;GOLD;2021-11-30T14:22:41;connect;transmitting b;maroon Euro;c RAM;26021;17730;false
4;Account;payment;system;BOULANGERIE;true;SILVER;2021-11-29T22:52:09;white Plastic;Berkshire CFA;Specialiste;Danemark synergies invoice;80311;24097;true
5;Australie de recontextualize;Bedfordshire plug-and-play;bluetooth (E.M.U.-6);GRILL;false;PLATINIUM;2021-11-30T09:48:30;XSS;Corse;a Credit;Cotton Cotton;16167;19341;false
6;green;Shirt salmon networks;circuit;RESTAURANT;false;PLATINIUM;2021-11-30T12:01:53;invoice Small Designer;invoice cross-platform Koweït;deposit;b payment homogeneous;73273;90140;true
7;recontextualize b b;GB Languedoc-Roussillon;a;FOODTRUCK;true;SILVER;2021-11-30T14:01:47;payment virtual multi-state;auxiliary User-centric Licensed;database Corse;Cheese;14073;33877;true
8;Baby Sausages matrix;Steel proactive;expedite de Djibouti;FASTFOOD;false;SILVER;2021-11-30T10:44:28;optimize Berkshire;Stand-alone;application Checking mission-critical;harness benchmark;99892;19361;false
9;leading-edge digital;Analyste Loan;Tenge frictionless;RESTAURANT;true;SILVER;2021-11-30T13:34:58;viral;synergies pixel;Automotive input;c Poitou-Charentes;15084;21428;false
10;Virtual;monitor;programming web-enabled;RESTAURANT;true;SILVER;2021-11-29T22:41:49;Bike deliver Automated;parsing;innovate azure services;d'Abbeville synthesizing Small;2415;75106;true
