id;picture_name;picture_url;picture_alt;is_logo;is_displayed
1;productize;cyan adapter;Saint-Séverin a;false;true
2;Architecte Borders b;Account Cotton Lats;application;false;false
3;Jewelery Books interface;Kids lime Soft;Havre Savings Afghanistan;true;true
4;Music bus SMS;Belize;world-class incentivize b;true;false
5;Auto turquoise b;Basse-Normandie Streamlined;Designer;false;true
6;Aruban generating;Checking Switchable application;b Account overriding;true;true
7;success;payment Home Clothing;Bedfordshire functionalities Dalasi;false;true
8;Cambridgeshire Extended Languedoc-Roussillon;c;override;false;true
9;USB Salvador c;Shirt Unit hacking;a;true;true
10;e-services Home;Developpeur Small Specialiste;Philippine a Zloty;false;false
